SampleID,ZOQM06Q,ZIS22OE,ZOBX723,ZO94RDZ,ZO5QFNX,ZO3XSJN,ZNQOVZV,ZNDMXI3,ZN9YTFN,ZN3TBJM,ZN0JE53,ZMGT937,ZMBVNFM,ZM8YXDM,ZLZNCLZ
MCP1,522.3329007,1305.832252,950.2874045,829.2785116,522.1498974,186.0670848,694.2942066,285.8259435,850.1139739,746.0425357,369.7446339,368.6376141,507.5686068,456.6366047,764.7705574
IL9,45.55890842,60.64463969,28.48560718,23.11353781,22.78848574,19.61145065,18.23078859,36.20575504,18.95392085,21.30236801,34.59818513,30.40446572,21.49281197,44.20813429,26.07579173
VEGFD,73.2028324,135.4062755,52.19172019,101.0355981,129.774007,48.16973945,65.592297,62.96202165,101.7742494,30.15849689,86.76111173,34.5946205,48.32264451,51.4639822,49.29998358
TNFB,80.96603794,105.3596519,51.38936154,46.97319591,56.06112168,60.46502192,43.2137813,70.0667636,35.78049747,47.23058522,57.4822742,57.4822742,45.38074279,68.30599991,58.24823496
NGF,69.94771617,61.29439046,48.36053389,40.95613671,48.36053389,31.72886094,44.12898717,51.91995427,37.02642461,39.75715987,52.51756006,50.97292594,38.10097494,86.89398099,42.63461588
EGF,133.0619606,565.2757218,1354.576085,183.5289154,177.3485619,99.79647043,113.7476983,63.20443127,171.0289658,42.63940639,238.4358244,113.5408687,311.1019804,735.3885539,156.4771478
BDNF,2748.892052,2200.633566,3254.844315,2488.176216,2969.733272,1079.689236,2788.677354,1982.958662,2416.445925,2462.49912,4356.302688,2884.216339,5460.761899,5308.385994,3097.822301
TRAIL,161.9667076,141.7208691,312.8320456,82.24159919,117.1141891,64.41857688,125.5548514,238.6554896,83.41773897,95.45392942,216.4099609,90.93282394,224.5380345,162.979569,85.54593014
GCSF,80.52855317,127.5906946,47.74667312,43.81599767,46.06149642,28.58589333,47.18494755,89.59237301,41.92494248,43.35774332,45.95148697,40.2075511,42.60085771,59.73293257,48.23621489
GROA,41.41308953,58.43847078,29.26608051,25.20425658,22.20185418,34.97105338,24.72479215,43.71381672,19.19571569,20.92602259,61.70626695,26.03233137,22.17568969,82.93761274,30.44869994
IL1A,241.6833078,268.6645796,277.4742384,119.9664012,181.2533331,130.3138025,209.7839504,252.0165608,133.0609779,129.763033,216.2794975,183.4467063,241.8161128,260.9918746,128.9601588
IL23,67.31669932,54.20305659,39.91031191,55.2538611,53.21374922,76.35054208,53.21374922,53.62022803,43.48093617,46.51086857,49.2236661,50.24915914,42.04521479,62.3274122,62.50961443
IL12P40,181.6380433,220.2844355,381.76103,277.0747711,216.8310382,190.6555348,272.1921543,213.5213169,222.8026686,378.3646248,301.2614561,286.8240061,190.5743397,211.3523551,328.9926448
IL15,103.6970888,75.35751177,69.45003399,47.98128797,52.37215678,41.22120302,44.40248075,77.28975566,47.36214864,51.78501879,54.36255125,35.58276082,48.92629612,58.05760198,52.85831851
IL18,258.0036932,255.6763403,196.3619035,201.3816521,283.059703,150.2805017,231.3855179,245.3694917,174.4164027,212.3572183,215.6696859,278.4467776,228.8326245,320.7408716,221.6221017
MCSF,80.55437159,87.92214948,51.91297905,46.07599363,55.41273045,89.39570506,67.66186034,65.81881581,35.47290626,44.94917835,52.67373562,71.26446583,43.37837051,75.77759692,50.548766
MCP3,130.6005406,56.97115419,50.02462947,42.03144556,38.70953471,33.98279373,42.28272253,49.30836737,30.53730312,36.6880535,53.0755232,40.29808243,43.24672261,52.18641856,44.8194674
MIG,85.41945801,50.854375,336.4374873,78.24069859,65.78709014,26.22178711,115.4159476,172.4281152,52.97461361,73.48369486,107.801582,41.16060403,115.1516898,72.26609256,45.80267427
RESISTIN,1433.992031,1605.913349,2214.956631,1114.658498,3078.695652,621.4403597,1025.863001,1593.558147,962.7930151,1864.380291,1156.966149,2473.423083,1022.21486,1730.27032,820.6778378
IL21,40.36454389,31.71499877,231.8909129,26.31466559,34.16250056,22.70505594,47.62045533,107.7589163,29.21708469,25.91463653,67.79804567,31.4425719,73.20223771,50.47386863,34.73541896
ICAM1,338.2140934,526.5074277,5237.071479,418.1612376,350.0328656,2293.43066,106.2983242,176.6923232,811.4483931,403.7616545,748.1879877,691.2067834,649.7096019,727.9149533,563.7173616
VCAM1,15732.09088,16018.96754,17026.57255,15422.28142,16136.84006,15293.33835,14310.98114,14825.33564,16053.39323,16628.37847,15922.91698,16446.77881,15489.92407,15726.3623,16160.11612
FGFB,97.21981832,82.76822371,53.71234131,46.51378123,50.28389399,59.77705045,52.56952553,70.94419175,40.84656521,47.37729399,56.86567028,48.88452357,47.88688023,71.82665735,59.15791036
IL22,205.5428251,150.731405,25.43554776,152.6960998,364.1299468,105.8427421,26.7742608,128.5233297,150.2320875,91.04418681,272.2721063,32.27699922,49.97728911,199.9613226,381.4144718
PDGFBB,100.8358775,148.3758367,240.2996505,61.5899367,137.9710912,109.1500408,141.995248,155.4108979,107.7877901,167.4795293,143.5993454,122.0885123,395.3342302,118.4598381,221.8201231
VEGF,648.6899142,358.917991,558.8060245,291.5855324,360.7617438,202.4482809,253.7107812,307.2366517,187.2947884,257.0407357,335.5215735,284.5626579,427.8530742,528.3072016,246.2754368
LEPTIN,2144.337048,1966.962048,4303.547704,1242.034079,6190.350623,155.8366067,3929.964924,1768.048656,4503.700777,9836.166122,5268.485514,3187.544396,725.0886245,2212.386969,2115.203547
PAI1,7759.462354,10908.87229,7011.819351,8118.796893,9350.172539,8515.809119,5093.613688,7605.879621,6588.828047,10418.06542,10526.56053,5238.135605,9707.850396,9177.910469,8855.181805
CD40L,189.8740497,301.5818239,440.1595329,175.0188767,270.2245234,112.5827699,361.5994137,159.5408682,172.1485534,230.9800949,232.8660772,250.73957,214.9925844,1531.808797,176.532008
ENA78,368.6719621,261.6834288,229.2579185,445.0676622,427.0490638,95.41272472,483.2397301,295.0077261,517.0796968,323.9560727,970.7737437,119.3999792,138.0886716,1119.193089,207.3870766
CHEX1,10092.42511,10080.27317,10297.43797,9961.442271,10397.77259,10320.39541,10263.99309,10111.86821,10011.09661,10104.14501,10306.52486,10298.48153,10215.53467,10490.90772,10451.62205
CHEX2,477.8269125,993.1304456,967.4664795,370.7439282,682.0605571,991.9593012,533.7289408,232.6673528,514.1727187,780.0681772,726.0718428,782.8595847,830.5207253,655.4081857,655.9396607
CHEX3,1070.198402,1342.39172,1479.821999,930.1173223,1275.447605,1344.534975,1116.489744,680.1260871,977.7749475,1433.783805,1250.014867,1317.916909,1295.282895,1560.572772,1184.511111
CHEX4,9.651761256,10.05391798,10.02273128,10.17127609,8.769889867,8.847447818,10.02273128,12.06470157,9.835497416,7.967663549,14.94983734,15.50353502,14.39613966,16.78567404,15.53895724
